p,partial_sum_inv_p
56783,1.4166385233053567
56891,1.4166561007780676
56909,1.4166736726911218
56921,1.4166912408996915
56951,1.41670879985388
57041,1.4167263311033322
57149,1.4167438292222845
57203,1.4167613108228998
57329,1.4167787540017447
57413,1.4167961716597663
57773,1.4168134807834054
57839,1.4168307701556282
57881,1.4168480469822207
58013,1.41686528449795
58049,1.4168825113235628
58193,1.416899695520975
58211,1.4169168744046912
58451,1.4169339827518537
58511,1.4169510735552924
58601,1.4169681381105048
58889,1.4169851192105405
58979,1.41700207439798
59021,1.4170190175199198
59063,1.4170359485935191
59123,1.4170528624848981
59369,1.4170697062922724
59393,1.4170865432932658
59399,1.4171033785935234
59453,1.4171201986026063
59513,1.4171370016540403
59621,1.4171537742677167
59723,1.4171705182357022
59879,1.4171872185813994
59981,1.4172038905275157
60083,1.4172205341704762
60149,1.4172371595507818
60251,1.4172537567856824
60293,1.4172703424589779
60383,1.4172869034115638
60449,1.4173034462824137
60509,1.4173199727495507
60689,1.4173364502001595
60719,1.4173529195096013
60761,1.4173693774349152
60773,1.4173858321105113
60779,1.4174022851617296
61331,1.4174185901298535
61409,1.4174348743878613
61469,1.4174511427507759
61703,1.4174673494181989
61751,1.4174835434879305
61961,1.4174996826722561
61991,1.4175158140461652
62099,1.4175319173650593
62171,1.4175480020347606
62213,1.4175640758457004
62351,1.417580114080853
62423,1.417596133817168
62459,1.417612144320058
62501,1.4176281440640621
62591,1.4176441208019317
62603,1.4176600944773146
62753,1.4176760299704383
62819,1.4176919487211348
62981,1.417707826525552
63113,1.4177236711217525
63179,1.4177394991658812
63419,1.4177552673110743
63671,1.41777097304838
63743,1.4177866610454934
63803,1.4178023342896984
63839,1.417817998695469
63863,1.4178336572144863
63929,1.4178492995677219
64301,1.4178648514253913
64373,1.417880385888598
64439,1.4178959044410275
64451,1.4179114201040894
64709,1.4179268739049518
64763,1.4179423148202892
64793,1.4179577485862824
64853,1.4179731680734302
64901,1.4179885761565105
65063,1.418003945875091
65099,1.4180193070941574
65111,1.418034665482141
65129,1.4180500196254566
65171,1.418065363873665
65183,1.4180807052970423
65309,1.418096017122365
65393,1.4181113092790179
65633,1.418126545516886
65651,1.4181417775773268
65843,1.4181569652206603
65963,1.4181721252346076
66029,1.4181872700951992
66173,1.4182023819988456
66191,1.4182174897929567
66431,1.418232543006065
66593,1.4182475595994006
66701,1.418262551878377
66749,1.418277533376227
66791,1.4182925054533033
66959,1.4183074399654674
67043,1.4183223557657747
67103,1.4183372582291518
67121,1.4183521566960995
67169,1.4183670445163736
67181,1.4183819296773565
67349,1.4183967777077653
67433,1.4184116072422661
67499,1.418426422276563
67559,1.418441224153441
67733,1.4184559880056253
67943,1.4184707062253095
68111,1.418485388141593
68171,1.4185000571357402
68261,1.4185147067892758
68279,1.4185293525808076
68489,1.4185439534656212
68543,1.4185585428474692
68639,1.41857311182429
68669,1.41858767443624
68699,1.4186022306888784
68819,1.4186167615597134
68963,1.4186312620889827
69029,1.4186457487540076
69119,1.4186602165559146
69203,1.418674666796511
69341,1.418689088278751
69431,1.418703491067131
69539,1.4187178714867517
69593,1.4187322407480278
69809,1.418746565548555
69941,1.4187608633138142
70061,1.4187751365899592
70079,1.4187894061999708
70181,1.418803655070748
70313,1.418817877191835
70379,1.418832085975705
70589,1.4188462524889012
70769,1.4188603829697615
70793,1.4188745086601546
70853,1.4188886223885784
70901,1.4189027265620033
70979,1.4189168152361182
71399,1.4189308210345188
71453,1.4189448162481557
71693,1.4189587646113153
71741,1.418972703641995
71843,1.4189866228825612
71849,1.419000540960753
71999,1.4190144300425458
72101,1.419028299475702
72161,1.4190421573767842
72269,1.4190559945683878
72503,1.4190697871011106
72911,1.4190835024527038
